,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
171,2023-11-27,144.6361714619971,139.92251991849835,149.04747081521725,144.6361714619971,144.6361714619971,-0.07832600152078202,-0.07832600152078202,-0.07832600152078202,-0.07832600152078202,-0.07832600152078202,-0.07832600152078202,0.0,0.0,0.0,144.5578454604763
172,2023-11-28,144.9852660493176,139.53851597577142,149.3865471930591,144.9852660493176,144.9852660493176,-0.4125901877766449,-0.4125901877766449,-0.4125901877766449,-0.4125901877766449,-0.4125901877766449,-0.4125901877766449,0.0,0.0,0.0,144.57267586154094
173,2023-11-29,145.33436063663805,139.8601817368455,149.02094256111502,145.33436063663805,145.33436063663805,-0.7869700710841967,-0.7869700710841967,-0.7869700710841967,-0.7869700710841967,-0.7869700710841967,-0.7869700710841967,0.0,0.0,0.0,144.54739056555385
174,2023-11-30,145.68345522395856,140.75086806052923,149.5805427104519,145.68345522395856,145.68345522395856,-0.6154982767843763,-0.6154982767843763,-0.6154982767843763,-0.6154982767843763,-0.6154982767843763,-0.6154982767843763,0.0,0.0,0.0,145.0679569471742
175,2023-12-01,146.03254981127907,141.65127242028998,150.55686349449618,146.03254981127907,146.03254981127907,-0.02344627375958223,-0.02344627375958223,-0.02344627375958223,-0.02344627375958223,-0.02344627375958223,-0.02344627375958223,0.0,0.0,0.0,146.00910353751948
176,2023-12-04,147.07983357324053,142.52395411035832,151.77179268044546,147.07983357324053,147.07983357324053,-0.07832600152108879,-0.07832600152108879,-0.07832600152108879,-0.07832600152108879,-0.07832600152108879,-0.07832600152108879,0.0,0.0,0.0,147.00150757171946
177,2023-12-05,147.42892816056101,142.50283934857876,151.83083311976804,147.42892816056101,147.42892816056101,-0.4125901877767455,-0.4125901877767455,-0.4125901877767455,-0.4125901877767455,-0.4125901877767455,-0.4125901877767455,0.0,0.0,0.0,147.01633797278427
178,2023-12-06,147.7780227478815,142.39923120309768,151.2957510309841,147.7780227478815,147.7780227478815,-0.7869700710836685,-0.7869700710836685,-0.7869700710836685,-0.7869700710836685,-0.7869700710836685,-0.7869700710836685,0.0,0.0,0.0,146.99105267679784
179,2023-12-07,148.127117335202,142.65025937843737,152.05847889913156,148.127117335202,148.127117335202,-0.6154982767848655,-0.6154982767848655,-0.6154982767848655,-0.6154982767848655,-0.6154982767848655,-0.6154982767848655,0.0,0.0,0.0,147.51161905841712
180,2023-12-08,148.47621192252248,143.99166435435282,152.89486035259935,148.47621192252248,148.47621192252248,-0.02344627375863847,-0.02344627375863847,-0.02344627375863847,-0.02344627375863847,-0.02344627375863847,-0.02344627375863847,0.0,0.0,0.0,148.45276564876383
181,2023-12-11,149.52349568448395,144.7516124724176,154.08460665330557,149.52349568448395,149.52349568448395,-0.0783260015213955,-0.0783260015213955,-0.0783260015213955,-0.0783260015213955,-0.0783260015213955,-0.0783260015213955,0.0,0.0,0.0,149.44516968296256
182,2023-12-12,149.87259027180446,144.83096560512922,154.36497517718098,149.87259027180446,149.87259027180446,-0.4125901877759538,-0.4125901877759538,-0.4125901877759538,-0.4125901877759538,-0.4125901877759538,-0.4125901877759538,0.0,0.0,0.0,149.4600000840285
183,2023-12-13,150.22168485912493,145.03650655104104,154.03621101186704,150.22168485912493,150.22168485912493,-0.7869700710837099,-0.7869700710837099,-0.7869700710837099,-0.7869700710837099,-0.7869700710837099,-0.7869700710837099,0.0,0.0,0.0,149.43471478804122
184,2023-12-14,150.5707794464454,144.86852463041012,154.43649404153754,150.5707794464454,150.5707794464454,-0.6154982767842315,-0.6154982767842315,-0.6154982767842315,-0.6154982767842315,-0.6154982767842315,-0.6154982767842315,0.0,0.0,0.0,149.9552811696612
